pageid	primary_platform	platforms
27717790	xbox 360	xbox 360,windows phone,ios,android (operating system)
27718524	nintendo 3ds	nintendo ds,playstation portable,wii,playstation 3,xbox 360,nintendo 3ds,ipad,playstation vita,mac os x,ipad 2,iphone
27719897	intellivision	intellivision
27720744	wii u	wii,wii u,nintendo eshop
27720802	nintendo wii	wii,xbox 360,playstation 3
27721123	nintendo 3ds	nintendo 3ds
27721819	nintendo 3ds	nintendo 3ds
27721863	nintendo 3ds	nintendo 3ds
27722070	nintendo 3ds	nintendo 3ds,microsoft windows,playstation 3,wii u,xbox 360
27722348	nintendo ds	wii,nintendo ds,playstation 3,xbox 360
27724491	nintendo 3ds	nintendo 3ds
27725538	nintendo 3ds	nintendo 3ds
27726910	playstation 3	playstation 3
27727864	playstation 3	playstation 3
27728000	nintendo 3ds	nintendo 3ds
27728226	playstation 3	playstation 3
27728649	playstation 3	playstation 3
27730446	playstation 4	playstation 3,playstation 4
27730535	nintendo 3ds	nintendo 3ds
27731250		
27731982	nintendo 3ds	nintendo 3ds
27733038	nintendo 3ds	wii,nintendo 3ds
27738178	nintendo 3ds	nintendo 3ds
27738187	nintendo 3ds	nintendo 3ds
27747865	intellivision	intellivision
27750796	nintendo 3ds	wii,wiiware,nintendo 3ds,nintendo eshop,ios
27751579	playstation 3	xbox 360,playstation 3
27756027	nintendo 3ds	nintendo 3ds
27758088	playstation vita	playstation portable,playstation vita
27758203		
27764068	ios game	ios (apple),android (operating system)
27768418	famicom disk system	msx,nintendo entertainment system,pc-88,famicom disk system
27772088	playstation 3	playstation 3,xbox 360
27775348	xbox 360	xbox 360
27798162	game boy advance	game boy advance
27799553	nintendo 64	nintendo 64
27803265	microsoft windows	microsoft windows
27805035	playstation	playstation,playstation portable,windows
27805677	satellaview	satellaview
27814100	nintendo 3ds	ios,maemo,meego,webos,android (operating system),symbian,series 40,nintendo 3ds,playstation store,playstation portable,playstation 3,playstation vita,xbox 360,xbox one,microsoft windows,webgl,windows phone,google plus,google chrome,chrome web store,blackberry tablet os,bada,facebook,adobe flash,mac os x,roku,samsung smart tv,wii,wii u,html5,blackberry 10
27815118	nintendo ds	nintendo ds
27815578	nintendo switch	microsoft windows,os x,linux,android (operating system),ios,windows phone,xbox 360,xbox one,playstation 3,playstation 4,playstation vita,raspberry pi,universal windows platform,wii u,nintendo switch,apple tv
27816183	atari 2600	atari 2600
27822771	playstation 3	playstation 3,xbox 360
27823796	nintendo ds	nintendo ds
27828488	nintendo 3ds	wii,nintendo 3ds,windows phone 7
27851082	intellivision	intellivision
27851100	microsoft windows	xbox live arcade,microsoft windows
27854854	playstation 4	windows phone,android (operating system),bada (operating system),ios (apple),adobe flash,windows 8,playstation vita,playstation 4,microsoft windows
27855932	nintendo wii	nintendo wii
27859055	playstation 2	playstation 2
27862899	nintendo 3ds	nintendo 3ds
27863015	nintendo wii	wii
27863924	game boy advance	game boy advance
27866730	playstation 3	microsoft windows,playstation 3,xbox 360
27871008	intellivision	intellivision
27871672	wii u	wii,wii u
27871699	nintendo wii	wii
27877368		
27877663	playstation 3	playstation 3,xbox 360,microsoft windows
27880672	nintendo wii	xbox 360,wii,playstation 3,playstation 2,playstation portable,microsoft windows
27882524	apple macintosh	android (operating system),ios,linux,classic mac os,os x,microsoft windows
27882565	commodore 64	commodore 64
27882729		
27883076	mac os x	microsoft windows,mac os x
27885136	linux game	microsoft windows,os x,linux
27885654	apple ii	apple ii series,atari 8-bit family,commodore 64,ms-dos,macintosh
27887933	nintendo wii	wii,wiiware
27905512	game boy color	game boy color
27909323	sony psp	playstation portable
27910729	ios game	ios (apple)
27911749	sony psp	playstation portable
27911855	microsoft windows	microsoft windows
27918110	playstation 3	playstation 3
27919147	arcade game	arcade game
27926328	microsoft windows	microsoft windows
27929059	mac os x	microsoft windows,mac os x
27935348	playstation 3	playstation 3,xbox 360
27936618	microsoft windows	microsoft windows
27939762	game boy color	game boy color
27942422	browser game	online
27948536	game boy advance	game boy advance
27948603	nintendo 3ds	wii,nintendo 3ds,windows,mac os x
27961987	ios game	ios
27962126	nintendo ds	nintendo ds
27965440	xbox 360	xbox 360
27967701	arcade game	arcade game
27975752	nintendo ds	nintendo dsi,dsiware
27980067	playstation 3	microsoft windows,playstation 3,xbox 360,os x
27984346	playstation network	xbox live arcade,playstation network
27984780	nintendo ds	nintendo dsi,dsiware
27984974	nintendo ds	nintendo dsi,dsiware
27985037	nintendo ds	nintendo dsi,dsiware
27985224	nintendo wii	wii,wiiware
27987861	intellivision	intellivision
27992981	microsoft windows	microsoft windows
27994538	ios game	microsoft windows,mac os x,ios,facebook,xbox live arcade,android (operating system)
28000076	xbox 360	xbox 360,microsoft windows
28012416	apple macintosh	personal computer,mac os
28021727	nintendo ds	nintendo ds
28030196	nintendo 3ds	wii,nintendo 3ds
28043171	nintendo wii	wiiware,android (operating system)
28059907	microsoft windows	microsoft windows
28062155	nintendo entertainment system	nintendo entertainment system
28063235	sega saturn	dos,mac os,sega saturn,playstation (console),microsoft windows
28082059	linux game	microsoft windows,mac os x,linux
28082651		
28082861	ios game	freedom of mobile multimedia access,ios,android (operating system)
28089960	nintendo entertainment system	nintendo entertainment system
28099572	playstation 3	microsoft windows,playstation 3,xbox 360
28104456		
28106515	microsoft windows	microsoft windows
28107667	playstation 3	playstation 3,xbox 360,ios
28132411	microsoft windows	microsoft windows,os x
28133309	ios game	microsoft windows,mac os x,playstation portable,ios (apple)
28137938	microsoft windows	microsoft windows
28139201	ios game	web browser,windows phone,ios,android (operating system),fire os
28140141	nintendo wii	wii,playstation 3
28141379	playstation 3	shield android tv,shield portable,shield tablet,playstation 3,playstation vita,xbox 360,microsoft windows,ios
28144304	nintendo 3ds	nintendo ds,wii,playstation 3,xbox 360,nintendo 3ds
28144568	nintendo ds	nintendo dsi,dsiware
28147805	commodore 64	amiga,commodore 64,dos
28161227	playstation 3	microsoft windows,playstation 3,xbox 360
28162270	apple ii	ms-dos,apple ii,atari st,amiga,commodore 64,macintosh,nec pc-9801
28173392	wii u	microsoft windows,os x,linux,playstation 3,playstation 4,xbox 360,wii u,android (operating system),nvidia,shield portable,shield tablet,shield android tv
28173411	nintendo wii	microsoft windows,playstation 3,wii,xbox 360
28175607	sega dreamcast	dreamcast,ios
28178595	sony psp	playstation portable
28183884	intellivision	intellivision
28186383	nintendo ds	wii,nintendo ds
28192691	intellivision	intellivision
28193701	playstation 3	playstation 3,xbox 360
28202137	playstation 3	playstation 3,xbox 360
28206165	zx spectrum	acorn electron,atari 8-bit,bbc micro,commodore 16,commodore 64,commodore plus/4,msx,zx spectrum
28214750	game boy advance	game boy advance
28216381	zx spectrum	acorn electron,bbc micro,commodore 16,commodore 64,commodore plus/4,zx spectrum
28220402	commodore 64	commodore 64
28224168	zx spectrum	commodore 64,zx spectrum,amstrad cpc,acorn electron,bbc micro,amiga,atari st,ms-dos,nintendo entertainment system,virtual console
28226402	playstation network	xbox live arcade,playstation network
28226416	zx spectrum	acorn electron,amiga,amstrad cpc,apple ii,atari st,bbc micro,commodore 64,msx,ibm pc compatible,zx spectrum
28233863	microsoft windows	microsoft windows
28245646	mac os x	microsoft windows,mac os x,apple ios,windows phone
28258383	linux game	microsoft windows,os x,linux
28260619	atari 2600	atari 2600
28262214	playstation	playstation (console),microsoft windows,playstation network
28273169	atari 2600	atari 2600
28273809	intellivision	intellivision
28274577	intellivision	intellivision
28277354	arcade game	arcade game
28298230	ios game	microsoft windows,ios,android (operating system),playstation portable
28303372	ms-dos	dos
28309377	playstation 3	playstation 3,xbox 360,microsoft windows
28310283	playstation 3	microsoft windows,playstation 3,xbox 360,onlive
28324472	playstation 3	microsoft windows,playstation 3,xbox 360,os x,linux,ios,android (operating system)
28344576	playstation 4	microsoft windows,playstation 3,xbox 360,os x,linux,playstation 4,xbox one
28346465	atari 2600	atari 2600
28362175	xbox 360	microsoft windows,xbox 360,os x
28372045	ios game	ios,os x
28380775	microsoft windows	microsoft windows
28393605	microsoft windows	microsoft windows
28395316	microsoft windows	microsoft windows
28398762	playstation 3	playstation 3
28400410	nintendo wii	playstation 3,playstation vita,xbox 360,wii,microsoft windows
28400781	microsoft windows	microsoft windows
28408151	nintendo wii	microsoft windows,playstation 3,xbox 360,wii
28408694	playstation 3	playstation 3,xbox 360
28415038	intellivision	intellivision,mattel aquarius
28420914	nintendo 3ds	microsoft windows,microsoft xbox 360,sony playstation 3,playstation vita,nintendo 3ds,wii,playstation 4,os x,dos,linux,playstation portable
28427699	microsoft windows	microsoft windows
28456394	mac os x	microsoft windows,mac os x
28464982	j2me	j2me
28467289	playstation 3	microsoft windows,xbox 360,playstation 3,google chrome
28471887	nintendo super famicom	super famicom
28483868	nintendo wii	wii
28484130	microsoft windows	microsoft windows
28485167	nintendo wii	microsoft windows,playstation 3,wii,xbox 360,os x
28505986	playstation 3	mac os x,microsoft windows,playstation 3,xbox 360
28513469	nintendo wii	wii
28516243	nintendo ds	nintendo ds
28527461	nintendo wii	wii
28527877	nintendo ds	nintendo ds
28544414	playstation 3	playstation 3,xbox 360
28552027	arcade game	arcade game
28556320	ios game	ios (apple)
28566279	atari 2600	atari 2600
28572776	super nintendo entertainment system	super nintendo entertainment system
28575516	apple macintosh	microsoft windows,cloud computing,onlive,mac os,linux
28586827	nintendo 3ds	wii,windows,mac os x,nintendo 3ds,linux
28600480	pc game	cloud computing,onlive,mac os x,microsoft windows
28608635	microsoft windows	microsoft windows
28613021	sega mega drive/genesis	sega genesis,turbografx-16,game gear
28624736	xbox 360	microsoft windows,xbox 360
28631491	arcade game	arcade game
28631811	playstation 3	playstation 3,playstation vita
28634102		
28640088	sony psp	playstation portable
28646783	arcade game	arcade game
28648680	nintendo ds	nintendo ds,ios,playstation 4,playstation vita,microsoft windows
28660668	sega dreamcast	neo geo (console),dreamcast,ios (apple)
28663118	nintendo 3ds	nintendo ds,nintendo 3ds,wii,playstation 3,xbox 360
28665239	playstation	playstation (console)
28671589	playstation 3	playstation 3
28677568	ios game	microsoft windows,linux,os x,android (operating system),ios
28679832	nintendo ds	nintendo ds
28680585		
28692162	sony psp	playstation portable
28693069	mac os x	microsoft windows,mac os x
28699937	playstation	playstation (console)
28707394	ios game	ios,android (operating system)
28712402	nintendo wii	wii
28722784	ios game	adobe flash,ios,android (operating system)
28723551	arcade game	arcade game
28744355	microsoft windows	microsoft windows
28744675	sony psp	playstation portable
28746132	playstation 3	playstation 3,xbox 360
28757008	nintendo ds	wii,microsoft windows,nintendo ds
28773282	xbox 360	xbox 360
28774487	microsoft windows	microsoft windows
28806057	ios game	ios,microsoft windows,os x
28816423	microsoft windows	microsoft windows,os x
28817462	nintendo ds	wii,nintendo ds,playstation 2,microsoft windows
28825037	cross-platform	cross-platform
28830020	playstation	playstation (console)
28830768	pc game	pc,windows
28832249	xbox 360	microsoft windows,xbox 360
28833294	playstation 3	playstation 3,xbox 360
28833560	playstation 4	microsoft windows,playstation 3,playstation 4,xbox 360,xbox one
28834718	playstation 3	playstation 3,xbox 360
28842499	sony psp	playstation portable
28842543	playstation 4	microsoft windows,playstation vita,ios,android (operating system),playstation 4
28857833	sony psp	playstation portable
28868825	wii u	arcade game,playstation 3,xbox 360,wii u
28869168	nintendo game boy	game boy
28886989	pc game	personal computer
28889998	microsoft windows	microsoft windows
28890125	pc game	personal computer
28891030	ios game	ios,android (operating system)
28892376	xbox 360	xbox 360
28899399	linux game	microsoft windows,mac os x,linux
28917736	xbox 360	xbox 360
28921947	nintendo 3ds	wii,nintendo 3ds,microsoft windows
28928398	browser game	online and offline,video game genre,mmorpg,massive multiplayer online role-playing game,virtual world,online games,avatar (virtual reality),online community,word filtering
28930609	atari 2600	atari 2600
28936411	sega mega drive/genesis	sega genesis
28945359	sony psp	playstation portable
28946801	playstation 3	microsoft windows,playstation 3,xbox 360
28947105	apple ii	apple ii,atari 8-bit family,commodore 64,vic-20
28958070		
28981056	microsoft windows	microsoft windows
28988210	playstation 3	playstation 3,windows,xbox 360
28989184	nintendo 3ds	playstation 3,xbox 360,wii,nintendo ds,nintendo 3ds,ios (apple),ipod touch,iphone,ipad
28996926	nintendo 3ds	nintendo 3ds
28997471	intellivision	intellivision
28998505	nintendo ds	nintendo ds
29000249	xbox 360	windows,xbox 360
29006007	nintendo wii	playstation 3,xbox 360,wii
29006980	playstation	playstation,playstation portable
29007461	arcade game	arcade game
29030245	arcade game	arcade game
29044474	nintendo 3ds	nintendo 3ds,ios
29055303	pc game	pc
29056326	ios game	adobe flash,ipod touch,iphone,ipad
29066122	nintendo super famicom	super famicom
29066153		
29073693	nintendo 3ds	nintendo ds,playstation 3,wii,xbox 360,nintendo 3ds
29081117	microsoft windows	microsoft windows
29096956	mobage	mobile phone,mobage
29102737	nintendo ds	nintendo ds,playstation 3,xbox 360,wii
29107814	ios game	ios,android (operating system),xperia play,blackberry playbook
29117338	microsoft windows	playstation portable,microsoft windows
29118798	playstation 3	microsoft windows,playstation 3,playstation network,xbox 360,xbox live arcade
29128227	commodore 64	acorn electron,bbc micro,commodore 64
29132196	browser game	microsoft windows,video game genre,role-playing video game,single-player video game,free-to-play,browser game,single-player game,fantasy (genre),role-playing video game,artix entertainment
29138792	arcade game	arcade game,super nintendo entertainment system
29138841	arcade game	arcade game,super nintendo entertainment system
29138855	super nintendo entertainment system	super nintendo entertainment system
29139182	commodore 64	acorn electron,bbc micro,commodore 64
29141113	bbc micro	acorn electron,bbc micro
29143402	ios game	ios
29150714	nintendo game boy	game boy
29152174	microsoft windows	microsoft windows
29166058	game boy advance	super nintendo entertainment system,game boy advance
29166911	ms-dos	ms-dos
29177750	linux game	microsoft windows,os x,linux
29179400	nintendo wii	playstation 3,wii,xbox 360
29180181	3do	personal computer,3do interactive multiplayer,atari falcon,atari st,atari jaguar cd,amiga
29189944	nintendo wii	playstation 3,wii
29190298	nintendo famicom	family computer
29194407	ios game	ios
29195963	microsoft windows	playstation network,xbox live arcade,microsoft windows
29215716	zx spectrum	acorn electron,bbc micro,amstrad cpc,commodore 16,commodore plus/4,commodore 64,zx spectrum
29215744	nintendo ds	playstation 3,xbox 360,wii,nintendo ds
29216681	nintendo 3ds	ios,android (operating system),windows phone,leap motion,blackberry 10,symbian,blackberry playbook,dsiware,mac os x,web browser,windows,blackberry,nintendo 3ds,nintendo eshop,chrome os,firefox os,nook,ntt docomo
29217544	nintendo wii	playstation 3,wii,xbox 360
29222301	nintendo wii	wii
29229729	bbc micro	acorn electron,bbc micro
29234880	pc game	personal computer
29237888	xbox 360	xbox 360,microsoft windows
29240396	nintendo wii	microsoft windows,os x,playstation 3,playstation 4,wii,xbox 360,xbox one,ios
29248409	nintendo ds	nintendo ds
29260845	nintendo 3ds	nintendo 3ds
29261894	sega mega drive/genesis	amiga,mega drive
29307654		
29319014	linux game	linux,microsoft windows,os x
29320191	mac os x	microsoft windows,mac os x
29327886	nintendo ds	nintendo dsi,dsiware
29329925	nintendo ds	nintendo ds,playstation 3,wii,xbox 360
29354446	microsoft windows	microsoft windows,windows 2000,windows xp,windows vista,windows 7
29392271	playstation	playstation
29404573	playstation network	playstation network,xbox live arcade
29408197	playstation	playstation,playstation portable,playstation vita
29429642	playstation 4	microsoft windows,xbox one,playstation 4
29432674	nintendo ds	microsoft windows,mac os x,playstation 3,xbox 360,nintendo ds,ios (apple),android (operating system),windows phone
29447505	microsoft windows	microsoft windows
29460292		
29469207	arcade game	arcade game
29471799	playstation 3	microsoft windows,playstation 3,xbox 360
29473494	wii u	microsoft windows,playstation 3,playstation 4,wii u,xbox 360,xbox one
29487649	microsoft windows	microsoft windows
29498743	playstation 3	playstation 3,xbox 360
29506474	super nintendo entertainment system	super nintendo entertainment system
29538868	playstation 3	microsoft windows,playstation 3,xbox 360
29547918	xbox 360	xbox 360
29554696	playstation 3	playstation 3,playstation vita
29555479	nintendo super famicom	super famicom
29557795	microsoft windows	microsoft windows
29563712	nintendo wii	wii,microsoft windows
29569199	super nintendo entertainment system	super nintendo entertainment system
29569732	atari 2600	atari 2600
29578386	super nintendo entertainment system	super nintendo entertainment system
29579302	ios game	microsoft windows,mac os x,ios
29587533	atari 2600	atari 2600
29590201	mac os x	microsoft windows,mac os x
29593735	arcade game	arcade,ios
29593791	nintendo wii	microsoft windows,os x,playstation 3,xbox 360,wii
29600390	msx	msx,nintendo entertainment system
29601699	arcade game	arcade game
29609709	nintendo ds	xbox 360,playstation 3,playstation 2,playstation portable,wii,nintendo ds,microsoft windows,cloud computing,onlive
29609919	nintendo wii	wiiware
29614480	nintendo wii	nec pc-98,fm towns,dos,pc engine,super nintendo entertainment system,virtual console
29616871	atari 2600	atari 2600
29621107	playstation 3	microsoft windows,playstation 3,xbox 360,ios (apple)
29631324	zx spectrum	amstrad cpc,commodore 64,zx spectrum
29633184	sega mega drive/genesis	sega mega drive,personal computer
29640891	pc game	personal computer
29642679	microsoft windows	microsoft windows
29644872	browser game	web browser
29645587	playstation 3	playstation 3,xbox 360,microsoft windows,playstation vita
29651525	playstation 3	playstation 3,xbox 360,microsoft windows
29652738	nintendo 3ds	microsoft windows,nintendo 3ds,nintendo ds,playstation 3,playstation portable,wii,xbox 360
29653060	browser game	browser game
29660901	browser game	web browser
29690532	nintendo ds	nintendo ds
29695133	nintendo ds	wii,nintendo ds,playstation 3,xbox 360
29696040	atari 2600	atari 2600
29705988	atari 2600	atari 2600
29721985	playstation 3	playstation 3,xbox 360,microsoft windows,os x,linux
29727963	apple macintosh	personal computer,mac os,iphone
29729682	sony psp	playstation portable
29756112	microsoft windows	microsoft windows,ouya
29762805	pc game	personal computer,ios (apple),macintosh
29765362	nintendo game boy	game boy
29773394	xbox 360	windows phone 7,xbox 360,microsoft windows
29775746	ios game	facebook mega platform (page does not exist),ios
29782682	nintendo 3ds	nintendo 3ds
29784729	ios game	xbox live arcade,playstation network,windows phone,windows 8,windows rt,steam (software),ios,android (operating system)
29797329	playstation	playstation (console)
29799329	nintendo wii	wii
29803616	xbox one	xbox 360,xbox live arcade,microsoft windows,xbox one
29812656	nintendo ds	cellphone,nintendo ds,psp
29819312	playstation 2	playstation (console),game boy color,playstation 2
29826781	nintendo 3ds	xbox 360,xbox live arcade,playstation 3,playstation network,android (operating system),nintendo 3ds,ios,playstation vita,wii u,personal computer
29827318	playstation 3	xbox 360,xbox live arcade,playstation 3,playstation network
29837993		
29838336	pc game	personal computer,apple ipod,j2me
29841318	nintendo ds	nintendo ds,mobile phone
29847292	mobile game	mobile phone
29848533	3do	3do interactive multiplayer
29854030	nintendo 3ds	nintendo ds,playstation 3,wii,xbox 360,nintendo 3ds
29856072		
29857070	playstation 3	playstation portable,playstation 3,xbox 360,personal computer,ps vita
29863431	playstation 3	playstation 3
29870079	ios game	xbox live arcade,microsoft windows,ios,windows phone
29887140	ios game	microsoft windows,mac os x,ios (apple)
29898264	playstation 2	playstation 2,personal computer
29906289	atari 2600	atari 2600
29911535	playstation 3	playstation 3,playstation network,xbox 360,xbox live arcade
29924238	playstation 4	microsoft windows,os x,linux,playstation 3,playstation 4,xbox 360,xbox one
29933584	microsoft windows	microsoft windows
29934846	playstation	playstation (console),microsoft windows
29957258	mac os x	microsoft windows,mac os x
29957716	mac os x	mac os x,microsoft windows
29958517	nintendo ds	wii,nintendo ds
29962670	wii u	amusement arcade,wii u
29963709	nintendo ds	wii,nintendo ds
29982050	xbox 360	xbox 360,xbox live arcade
29985811	playstation 4	playstation 3,playstation 4
29988544	sega dreamcast	dreamcast
29992738	xbox 360	playstation portable,xbox 360
30012109	ms-dos	dos,microsoft windows,macintosh
30013025	playstation 4	microsoft windows,xbox 360,playstation 3,playstation 4
30014712	nintendo switch	microsoft windows,playstation 3,xbox 360,playstation 4,xbox one,nintendo switch
30015488	playstation 3	playstation 3,xbox 360
30016609	playstation 3	playstation 3,microsoft windows
30020776	playstation 4	microsoft windows,playstation 3,playstation 4,xbox 360,xbox one
30025122	playstation 3	xbox 360,xbox live arcade,playstation 3,playstation network,microsoft windows,cloud computing,onlive
30029408	browser game	web browser
30039726	microsoft windows	microsoft windows
30044868	sony psp	playstation portable
30044914	mobile game	mobile phone
30046540	ios game	ios
30046572	ios game	ios,android (operating system),hp touchpad,blackberry playbook,mac os x
30052987	super nintendo entertainment system snes	super nes
30055681	playstation 3	playstation 2,playstation 3,playstation portable
30071628	playstation 3	xbox 360,xbox live arcade,playstation 3,playstation network
30071671	nintendo super famicom	super famicom
30071894	linux game	xbox live arcade,playstation network,microsoft windows,mac os x,linux
30085510	nintendo 3ds	nintendo 3ds
30090396	xbox 360	xbox 360,xbox live arcade,windows 8
30102763	ios game	microsoft windows,os x,ios,android (operating system)
30120254	ios game	iphone,ipod touch,ios (apple),java platform, micro edition,mac os x,android (operating system)
30121698	microsoft windows	microsoft windows
30155973	xbox one	ios,android (operating system),windows phone,symbian,bada (operating system),windows,xbox 360,facebook,playstation vita,xbox one,htc vive
30163081	microsoft windows	xbox live arcade,playstation network,microsoft windows
30165497	ios game	ios (apple),android (operating system)
30174697	pc game	personal computer
30179318	linux game	mac os x,windows,linux
30195058	nintendo game boy	game boy
30210476	xbox 360	xbox 360,xbox live arcade,windows phone 7
30221125	arcade game	arcade game
30234010	arcade game	arcade game
30237226	playstation 3	playstation,playstation 3,playstation vita,xbox,xbox 360
30250679	nintendo 3ds	nintendo 3ds
30253845	sega mega drive/genesis	sega genesis,dreamcast,ouya,playstation 3,playstation 4,playstation vita,xbox one,wii u,microsoft windows,macos,linux,android (operating system)
30257256	ios game	ios (apple),bada
30259237	xbox 360	microsoft windows,xbox 360
30260736	nintendo 3ds	nintendo 3ds
30278322	nintendo 3ds	playstation portable,nintendo 3ds
30311314	nintendo 3ds	nintendo 3ds
30312333	nintendo wii	wii
30313777	nintendo 3ds	nintendo ds,dsiware,nintendo 3ds,wii u
30319211	microsoft windows	microsoft windows
30323384	nintendo wii	linux,ms-dos,microsoft windows,dreamcast,playstation 2,xbox (console),playstation portable,wii,android (operating system)
30323641	xbox 360	xbox 360
30330023	facebook game	facebook
30335242	playstation 2	playstation 2
30336679	nintendo 3ds	nintendo 3ds
30357295	nintendo ds	game boy advance,nintendo ds,playstation portable
30368775	playstation	playstation (console)
30389297	flash game	flash game
30392244	nintendo ds	wii,nintendo ds
30402710	pc game	personal computer
30459563	playstation	playstation (console)
30468688	commodore 64	amiga,atari st,commodore 64,dos
30470314	zx spectrum	commodore 64,zx spectrum
30471253	xbox 360	xbox 360
30496877	nintendo 3ds	nintendo 3ds
30496965	nintendo 3ds	nintendo 3ds
30497040	nintendo 3ds	nintendo 3ds,playstation vita,playstation portable
30507095	nintendo 3ds	microsoft windows,playstation 3,xbox 360,nintendo 3ds,playstation vita,ios
30518782	playstation 3	playstation 3,xbox 360,microsoft windows,ios,android (operating system)
30531891	nintendo ds	nintendo ds
30535836	game boy color	game boy color
30576073	nintendo game boy	game boy
30581920	nintendo 3ds	nintendo 3ds,nintendo eshop
30596934	arcade game	microsoft windows,arcade game
30602385	playstation 3	playstation 3,xbox 360
30602654	playstation 4	microsoft windows,mac os x,linux,xbox 360,xbox one,ios,playstation 4,playstation vita
30613712	nintendo ds	nintendo ds
30626524	nintendo entertainment system	nintendo entertainment system
30626525	zx spectrum	amstrad cpc,commodore 64,zx spectrum
30626787	flash game	adobe flash
30631274	apple ii	trs-80,apple ii,ibm pc
30636095	mac os x	microsoft windows,mac os x
30637045	microsoft windows	microsoft windows
30639950	microsoft windows	microsoft windows
30646081	playstation 3	playstation 3,playstation network,xbox 360,xbox live arcade
30648190	playstation 3	microsoft windows,os x,playstation 3,xbox 360,ios
30664978	ios game	ios,android (operating system)
30680801	playstation 3	playstation 3,xbox 360,microsoft windows
30683620	flash game	adobe flash
30691406	playstation 3	playstation 3,xbox 360
30696327	ms-dos	ms-dos,windows
30698829	nintendo wii	wii
30715282	playstation 3	playstation 3,xbox 360,microsoft windows
30721092	playstation 3	playstation 3,playstation portable,microsoft windows,mac os x,linux
30723462	ios game	ios
30736670	linux game	microsoft windows,os x,linux
30740464	playstation 3	playstation 3,xbox 360
30745326	browser game	php,smartfox server (page does not exist)
30749429	nintendo ds	google chrome,microsoft windows,os x,ios,xbox live arcade,playstation network,nintendo ds,dsiware,bada,android (operating system),windows phone,playstation vita,blackberry tablet os,blackberry 10
30749500	playstation 3	microsoft windows,playstation 3,xbox 360
30750503	sony psp	playstation portable
30758193	nintendo wii	wii,wiiware
30759716		
30768877	playstation 2	playstation 2,microsoft windows
30778882	ios game	ios,android (operating system),mac os x lion,windows phone 8
30779979	nintendo wii	wii
30780041	nintendo wii	wii
30782327	nintendo wii	xbox 360,wii,playstation 2,playstation 3,playstation portable,ios,android (operating system),blackberry tablet os
30788798	playstation 3	xbox 360,playstation vita,playstation 3
30791097	nintendo 3ds	nintendo 3ds
30794321	playstation 3	playstation 3,north america
30801820	nintendo 3ds	3ds,nintendo 3ds,playstation,playstation portable
30804158	nintendo game boy	game boy
30805795		
30822228	playstation 3	microsoft windows,playstation 3,xbox 360
30826822	microsoft windows	windows pc
30829415	nintendo wii	playstation portable,iphone,ipod touch,ipad,wiiware
30832815	microsoft windows	microsoft windows
30833856	nintendo 3ds	microsoft windows,nintendo 3ds,os x,playstation 3,wii,xbox 360,wii u
30842437	nintendo wii	wii,wiiware
30854001	xbox 360	xbox 360,kinect
30857494	nintendo famicom	msx,family computer
30857544	ios game	ios (apple)
30858821	zx spectrum	amiga,amstrad cpc,amstrad pcw,apple ii series,atari 8-bit family,atari st,bbc micro,commodore 64,dos,macintosh,msx,zx spectrum
30859433	microsoft windows	windows 9x
30860384	playstation	playstation,playstation vita
30861525	sony psp	playstation portable
30862459	playstation 2	arcade game,playstation 2,xbox (console),playstation network
30862529	playstation 2	playstation (console),playstation 2,playstation network
30862655	mac os x	microsoft windows,macintosh
30862990	super nintendo entertainment system	super nintendo entertainment system
30863017	playstation	microsoft windows,playstation (console),mac os,ios,android (operating system)
30863142	nintendo gamecube	playstation 2,xbox (console),nintendo gamecube,game boy advance
30863624	microsoft windows	microsoft windows
30864259	sega saturn	arcade game,wonderswan,sega saturn,playstation (console),playstation 2,street fighter alpha
30864342	nintendo gamecube	sega saturn,playstation (console),microsoft windows,playstation 2,gamecube,mobile phones,playstation network,playstation 3,playstation vita,playstation portable
30864749	nintendo ds	nintendo ds,game boy advance
30864905	mac os x	microsoft windows,mac os x,playstation portable
30865585	microsoft windows	microsoft windows
30865720	zx spectrum	arcade game,amiga,amstrad cpc,atari st,commodore 64,nintendo entertainment system,zx spectrum,atari lynx
30865892	playstation 2	playstation 2,xbox (console)
30870768	nintendo wii	game boy advance,virtual console
30871233	arcade game	arcade game,nintendo entertainment system,playchoice-10,commodore amiga,ibm pc,microsoft windows
30871248	nintendo game boy	super nintendo entertainment system,game boy,game boy advance,nintendo super system
30871528	microsoft windows	microsoft windows
30871883	linux game	microsoft windows,os x,linux
30872528	game boy advance	game boy advance
30872824	nintendo ds	microsoft windows,nintendo ds,playstation 3,wii,xbox 360,ios,ouya
30873176	nintendo famicom	family computer disk system,nintendo entertainment system,playchoice-10,nintendo vs. system,commodore 64,amiga,dos,microsoft windows,game boy advance,at&amp;t wireless
30873388	super nintendo entertainment system	super nintendo entertainment system
30873608	nintendo gamecube	msx,nintendo entertainment system,ms-dos,commodore 64,mobile phone,gamecube,playstation 2,virtual console,playstation 3,xbox 360,playstation vita
30873943	intellivision	arcade game,colecovision,intellivision
30874186	xbox	linux,mac os x,microsoft windows,xbox (console)
30874393	nintendo 64	dreamcast,game boy color,ios,microsoft windows,nintendo 64,nintendo ds,nintendo 3ds,playstation (console),playstation 2
30874977	sony psp	playstation portable
30875620	microsoft windows	microsoft windows
30876126	playstation 2	playstation,playstation 2
30876322	atari 2600	atari 2600
30878004	nintendo wii	wii
